StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      103,      00,   196405,   2.45,     66,  -2.75,  -2.75,  -2.88,  -1.38,    112,    106,  -1.41,    .09,   1.03,   -.16,  -1.33,  -1.33,  -1.52,   53.6,   78.4,
      103,      00,   196406,   3.74,   72.3,  -2.76,  -2.76,   -.89,  -1.68,    214,     15,   -.41,  -1.17,   -.17,    .24,   -.95,  -1.19,  -1.54,   60.5,   84.1,
      103,      00,   196407,   3.64,   75.5,  -2.79,  -2.79,   -.95,     -2,    304,      1,   -.36,   -.55,  -1.12,    .34,   -.51,  -1.34,  -1.62,     64,     87,
      103,      00,   196408,   3.41,   72.4,  -2.67,  -2.67,   -.48,  -1.98,    213,     17,   -.19,   -.48,   -.64,     .4,   -.49,  -1.39,   -1.6,   60.2,   84.7,
      103,      00,   196409,   3.31,   66.7,   -2.5,   -2.5,   -.33,  -1.86,     96,     71,   -.05,   -.16,   -.38,   -.43,   -.01,  -1.06,  -1.79,   53.9,   79.4,
      103,      00,   196410,   1.02,   52.3,  -3.11,  -3.11,   -2.6,  -3.11,      3,    428,  -1.76,  -1.13,   -1.1,   -1.5,    -.3,   -.97,   -2.3,   38.1,   66.5,
      103,      00,   196411,      3,   46.5,  -3.46,  -3.46,     -2,  -3.46,      0,    589,   -.05,  -1.19,   -.95,  -1.04,    -.2,   -.87,   -2.2,   34.4,   58.7,
      103,      00,   196412,   3.35,   33.4,  -3.37,  -3.37,   -.82,  -3.37,      0,   1034,    .25,     .1,   -.79,   -.84,   -.75,   -.39,  -1.97,   24.5,   42.2,
      103,      00,   196501,   3.66,   30.8,    .39,  -2.63,   1.18,   -2.1,      0,   1129,    .61,    .54,    .33,   -.48,  -1.02,   -.09,  -1.45,   20.7,     41,
      103,      00,   196502,    2.9,   31.8,     .5,  -2.21,    .45,  -1.46,      0,    987,    .35,    .59,    .59,    -.4,   -.64,    .02,  -1.23,   20.5,   43.1,
      103,      00,   196503,   3.99,   35.1,     .8,  -1.63,   1.05,   -.44,      0,    974,    .21,    .31,    .55,   -.28,   -.45,   -.49,  -1.43,   25.8,   44.3,
      103,      00,   196504,   4.58,   54.9,    .98,  -1.21,    .77,    .26,      9,    389,    .61,    .49,    .56,    .55,   -.15,   -.75,  -1.16,   43.1,   66.6,
      103,      00,   196505,   2.73,   67.7,   -.95,  -2.03,  -2.85,  -1.56,    138,     85,  -1.17,   -.42,   -.27,    .06,    -.5,   -.68,  -1.25,   55.4,   80.1,
      103,      00,   196506,   3.85,   70.9,  -1.01,  -1.98,   -.47,  -1.59,    176,     25,   -.31,   -.98,   -.52,   -.11,   -.58,   -.67,  -1.19,   59.5,   82.2,
      103,      00,   196507,   4.17,   73.6,    .11,  -1.67,    .32,  -1.12,    247,      7,    .16,   -.19,   -.78,   -.26,   -.13,   -.57,  -1.25,   62.2,     85,
      103,      00,   196508,      4,   72.4,    .34,  -1.25,    .74,    -.4,    213,     17,    .44,    .39,   -.02,   -.31,      0,   -.47,  -1.21,   60.6,   84.3,
